claim_id,study_id,result_position,source_result_id,role,direction,status,note
study_03_claim_01,study_03,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_03_claim_02,study_03,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_05_claim_01,study_05,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_05_claim_02,study_05,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_06_claim_01,study_06,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_10_claim_01,study_10,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_10_claim_02,study_10,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_13_claim_01,study_13,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_13_claim_02,study_13,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_14_claim_01,study_14,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_14_claim_02,study_14,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_18_claim_01,study_18,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_20_claim_01,study_20,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_20_claim_02,study_20,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_21_claim_01,study_21,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_21_claim_02,study_21,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_22_claim_01,study_22,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_22_claim_02,study_22,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_26_claim_01,study_26,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_26_claim_02,study_26,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_30_claim_01,study_30,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_33_claim_01,study_33,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_33_claim_02,study_33,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_35_claim_01,study_35,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_39_claim_01,study_39,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_39_claim_02,study_39,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_40_claim_01,study_40,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_40_claim_02,study_40,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_41_claim_01,study_41,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_41_claim_02,study_41,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_43_claim_01,study_43,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_43_claim_02,study_43,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_44_claim_01,study_44,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_44_claim_02,study_44,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_45_claim_01,study_45,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_47_claim_01,study_47,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_47_claim_02,study_47,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_49_claim_01,study_49,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_49_claim_02,study_49,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_51_claim_01,study_51,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_51_claim_02,study_51,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_53_claim_01,study_53,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_53_claim_02,study_53,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
study_55_claim_01,study_55,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_60_claim_01,study_60,key,,primary,unclear,pending,Select and verify a project result row for the key result.
study_60_claim_02,study_60,second,,supplementary,unclear,pending,Select and verify a project result row for the second result.
